,Price $,Acres,County,Zip
0,199900.0,77.45,Cattaraugus County,14755
1,354900.0,381.58,Jefferson County,13634
2,274900.0,200.0,Steuben County,14877
3,160000.0,25.0,Saint Lawrence County,13670
4,248900.0,108.0,Oswego County,13036
5,499500.0,180.23,Cortland County,13040
6,71000.0,12.6,Onondaga County,13104
7,244900.0,149.2,Cattaraugus County,14741
8,355000.0,212.39,Otsego County,12116
9,219900.0,100.4,Allegany County,14709
10,448900.0,135.0,Chenango County,13815
11,1450000.0,545.0,Tioga County,13743
12,199900.0,195.78,Madison County,13487
13,9499000.0,1566.31,Livingston County,14510
14,750000.0,350.0,Madison County,13032
15,119900.0,51.0,Allegany County,14709
16,114900.0,29.0,Schuyler County,14886
17,195000.0,110.0,Madison County,13464
18,799900.0,373.0,Chautauqua County,14724
19,225000.0,81.31,Madison County,13355
20,179900.0,87.9,Cayuga County,13092
21,278900.0,237.0,Allegany County,14770
22,159900.0,68.0,Allegany County,14739
23,1298900.0,270.75,Chenango County,13815
24,499500.0,180.23,Cortland County,13040
25,229900.0,131.6,Cayuga County,13118
26,139900.0,79.01,Madison County,13314
27,129900.0,79.89,Cortland County,13863
28,195000.0,90.0,Delaware County,13775
29,975000.0,12.64,Onondaga County,13104
30,295000.0,220.0,Albany County,12009
31,485000.0,22.0,Oneida County,13323
32,143900.0,180.0,Allegany County,14813
33,178900.0,43.1,Madison County,13032
34,69000.0,33.0,Chenango County,13815
35,239900.0,150.0,Allegany County,14895
36,129500.0,163.0,Madison County,13082
37,299000.0,135.6,Saint Lawrence County,13642
38,398900.0,174.91,Delaware County,13740
39,128900.0,62.0,Broome County,13862
40,600000.0,262.0,Steuben County,14843
41,295000.0,225.0,Madison County,13408
42,699500.0,211.48,Cortland County,13803
43,349000.0,6.7,Onondaga County,13159
44,495000.0,60.0,Oneida County,13490
45,114900.0,125.0,Chenango County,13411
46,148900.0,50.17,Delaware County,13740
47,132000.0,33.11,Onondaga County,13069
48,395000.0,109.17,Onondaga County,13078
49,275000.0,87.7,Ontario County,14532
50,152900.0,104.0,Tioga County,13811
51,99500.0,10.0,Onondaga County,13104
52,849900.0,500.0,Steuben County,14819
53,285000.0,76.0,Madison County,13035
54,87500.0,45.0,Herkimer County,13439
55,179900.0,12.0,Chenango County,13778
56,195000.0,30.0,Oswego County,13142
57,39000.0,2.0,Madison County,13066
58,244700.0,153.3,Steuben County,14823
59,2498900.0,180.77,Columbia County,12184
60,160000.0,94.0,Madison County,13334
61,69750.0,30.0,Oswego County,13135
62,105000.0,50.0,Oswego County,13142
63,269900.0,92.64,Steuben County,14877
64,299500.0,43.1,Ontario County,14424
65,365000.0,121.0,Oswego County,13142
66,500000.0,116.0,Herkimer County,13357
67,435000.0,180.0,Oswego County,13142
68,45000.0,41.0,Herkimer County,13416
69,96000.0,27.8,Jefferson County,13656
70,274900.0,174.0,Lewis County,13473
71,225000.0,136.14,Chenango County,13136
72,400000.0,50.0,Herkimer County,13407
73,190000.0,90.0,Oswego County,13142
74,50000.0,37.0,Delaware County,13775
75,2249900.0,903.0,Jefferson County,13634
76,85000.0,50.0,Oswego County,13135
77,39500.0,2.0,Madison County,13066
78,299000.0,84.21,Jefferson County,13637
79,275000.0,176.0,Jefferson County,13656
80,92500.0,77.2,Allegany County,14895
81,79000.0,44.0,Chenango County,13815
82,100000.0,110.0,Delaware County,13775
83,36000.0,12.0,Chenango County,13815
84,69000.0,29.0,Chenango County,13815
85,73000.0,11.0,Otsego County,13775
86,49900.0,24.3,Chenango County,13815
87,79900.0,50.0,Steuben County,14823
88,40000.0,6.03,Cayuga County,13021
89,39500.0,2.0,Madison County,13066
90,599000.0,20.0,Suffolk County,11933
91,365000.0,186.0,Madison County,13409
92,275000.0,73.0,Montgomery County,13452
93,375000.0,132.0,Montgomery County,13339
94,249000.0,43.0,Montgomery County,13339
95,835000.0,320.0,Delaware County,13856
96,313500.0,95.0,Sullivan County,12734
97,160000.0,75.0,Otsego County,13320
98,739000.0,202.0,Montgomery County,13428
99,315000.0,161.0,Herkimer County,13357
100,1625000.0,10.0,Columbia County,12546
101,1300000.0,339.0,Herkimer County,13340
102,19827.0,7.21,Oneida County,13309
103,549000.0,119.0,Montgomery County,13317
104,399000.0,150.0,Herkimer County,13339
105,1350000.0,27.01,Dutchess County,12501
106,7900000.0,1126.0,Jefferson County,13605
107,329000.0,83.77,Sullivan County,12758
108,349900.0,141.0,Madison County,13491
109,220000.0,27.05,Chenango County,13332
110,729000.0,196.0,Lewis County,13309
111,999000.0,95.0,Ulster County,12401
112,689000.0,100.0,Chenango County,13460
113,125000.0,60.0,Saint Lawrence County,13646
114,399900.0,78.9,Sullivan County,12726
115,570000.0,360.0,Chenango County,13460
116,449900.0,9.8,Sullivan County,12754
117,800000.0,90.96,Dutchess County,12546
118,1663000.0,125.98,Columbia County,12502
119,299000.0,125.0,Madison County,13032
120,335000.0,75.0,Chenango County,13485
121,475000.0,234.0,Montgomery County,13339
122,49900.0,16.0,Rensselaer County,12028
123,89500.0,19.97,Sullivan County,12766
124,349900.0,102.43,Otsego County,13320
125,750000.0,268.0,Montgomery County,13339
126,425000.0,116.0,Tioga County,13827
127,95000.0,28.0,Chenango County,13733
128,280000.0,99.0,Otsego County,13491
129,650000.0,190.0,Chenango County,13460
130,500000.0,146.0,Montgomery County,13428
131,85000.0,42.0,Fulton County,13452
132,346500.0,105.0,Sullivan County,12734
133,179000.0,41.5,Otsego County,13348
134,270000.0,112.0,Montgomery County,12010
135,325000.0,135.0,Montgomery County,13339
136,18000.0,2.0,Montgomery County,12072
137,749000.0,326.0,Madison County,13332
138,120000.0,64.7,Montgomery County,12095
139,69900.0,6.7,Sullivan County,12734
140,167500.0,40.0,Herkimer County,13407
141,995000.0,106.0,Columbia County,12503
142,2400000.0,211.99,Columbia County,12502
143,598000.0,36.0,Dutchess County,12546
144,1274000.0,72.0,Dutchess County,12594
145,632200.0,31.61,Dutchess County,12546
146,160000.0,48.0,Otsego County,12197
147,229999.0,150.0,Chemung County,14871
148,500000.0,33.97,Ulster County,12440
149,455000.0,150.0,Madison County,13334
150,1200000.0,326.44,Madison County,13402
151,299000.0,146.0,Chenango County,13464
152,799000.0,305.0,Herkimer County,13365
153,500000.0,60.32,Madison County,13485
154,410000.0,134.04,Chenango County,13801
155,105000.0,80.15,Madison County,13355
156,575000.0,237.5,Chenango County,13733
157,499900.0,300.0,Chenango County,13464
158,419000.0,146.6,Chenango County,13801
159,289000.0,14.58,Chenango County,13815
160,190000.0,63.25,Chenango County,13136
161,575000.0,237.0,Chenango County,13733
162,365000.0,130.0,Otsego County,13335
163,485000.0,150.0,Madison County,13334
164,105900.0,78.9,Cortland County,13101
165,499000.0,190.58,Otsego County,13808
166,500000.0,116.0,Herkimer County,13357
167,239900.0,16.43,Livingston County,14454
168,360000.0,108.8,Fulton County,13452
169,1200000.0,107.0,Ulster County,12484
170,800000.0,154.0,Fulton County,12095
171,125000.0,118.0,Clinton County,12919
172,279000.0,19.46,Delaware County,13839
173,595000.0,103.26,Dutchess County,12570
174,999900.0,275.0,Livingston County,14487
175,57500.0,23.1,Fulton County,13452
176,599000.0,65.0,Tompkins County,14850
177,39900.0,8.81,Montgomery County,12010
178,1995000.0,203.0,Greene County,12414
179,799000.0,125.0,Columbia County,12123
180,532000.0,14.9,Columbia County,12583
181,100000.0,7.0,Wayne County,14551
182,1299000.0,117.0,Greene County,12414
183,599000.0,144.5,Greene County,12414
184,325000.0,123.0,Albany County,12469
185,599000.0,144.5,Greene County,12414
186,475000.0,18.25,Columbia County,12516
187,380000.0,12.0,Columbia County,12502
188,2800000.0,265.0,Columbia County,12513
189,2000000.0,430.0,Schoharie County,12122
190,749000.0,177.79,Albany County,12193
191,1250000.0,84.27,Columbia County,12173
192,1950000.0,170.0,Columbia County,12136
193,219000.0,25.0,Cattaraugus County,14719
194,290000.0,130.0,Sullivan County,12783
195,899900.0,564.12,Saint Lawrence County,13652
196,200000.0,27.7,Chautauqua County,14787
197,3400000.0,466.0,Dutchess County,12546
198,325000.0,69.2,Montgomery County,13452
199,525000.0,80.0,Columbia County,12037
200,2800000.0,265.0,Columbia County,12513
201,1275000.0,501.03,Greene County,12468
202,769000.0,11.18,Columbia County,12184
203,415000.0,123.0,Franklin County,12953
204,895000.0,131.8,Essex County,12941
205,1298900.0,270.75,Chenango County,13815
206,89900.0,48.11,Madison County,13032
207,1900000.0,78.0,Columbia County,12075
208,445900.0,10.0,Schoharie County,12092
209,1995000.0,85.6,Saratoga County,12027
210,450000.0,4.3,Greene County,12418
211,229000.0,52.8,Montgomery County,13317
212,949000.0,211.76,Steuben County,14810
213,1595000.0,180.0,Columbia County,12526
214,1200000.0,145.58,Columbia County,12125
215,229000.0,43.0,Steuben County,14873
216,500000.0,101.87,Greene County,12468
217,5750000.0,410.0,Dutchess County,12567
218,2900000.0,422.0,Delaware County,12760
219,464900.0,139.0,Montgomery County,13317
220,1150000.0,85.41,Columbia County,12502
221,399900.0,47.0,Washington County,12865
222,1289999.0,96.0,Columbia County,12075
223,2975000.0,296.0,Columbia County,12521
224,450000.0,29.42,Columbia County,12075
225,329900.0,29.8,Niagara County,14108
226,149900.0,8.57,Otsego County,13808
227,348900.0,39.98,Columbia County,12523
228,229000.0,41.0,Columbia County,12534
229,2000000.0,175.7,Seneca County,14521
230,219000.0,56.0,Columbia County,12502
231,2645000.0,121.0,Ulster County,12525
232,1950000.0,85.0,Ulster County,12525
233,759000.0,73.04,Columbia County,12513
234,398000.0,94.0,Greene County,12468
235,1950000.0,104.0,Columbia County,12534
236,275000.0,19.8,Columbia County,12526
237,1625000.0,204.32,Madison County,13032
238,210000.0,24.98,Schuyler County,14841
239,550000.0,31.7,Ulster County,12477
240,1100000.0,59.0,Columbia County,12521
241,925000.0,101.0,Yates County,14837
242,425000.0,385.0,Saint Lawrence County,13635
243,575000.0,49.8,Columbia County,12534
244,5750000.0,410.0,Dutchess County,12567
245,279900.0,53.3,Montgomery County,12072
246,410000.0,134.04,Chenango County,13801
247,1275000.0,501.03,Greene County,12468
248,139997.0,10.14,Dutchess County,12578
249,450000.0,33.25,Dutchess County,12567
250,2100000.0,155.65,Dutchess County,12567
251,2200000.0,170.82,Dutchess County,12582
252,595000.0,128.0,Oswego County,13074
253,1600000.0,173.51,Columbia County,12534
254,5500000.0,547.0,Columbia County,12502
255,2250000.0,161.0,Dutchess County,12546
256,750000.0,159.2,Columbia County,12521
257,599000.0,145.0,Madison County,13346
258,750000.0,159.2,Columbia County,12521
259,795000.0,101.8,Niagara County,14094
260,1350000.0,87.0,Columbia County,12502
261,2900000.0,279.86,Dutchess County,12581
262,5500000.0,547.0,Columbia County,12502
263,1595000.0,129.0,Dutchess County,12581
264,945000.0,119.2,Columbia County,12184
265,8500000.0,1120.0,Columbia County,12523
266,109000.0,27.28,Dutchess County,12538
267,399900.0,12.5,Wayne County,14522
268,1500000.0,264.42,Dutchess County,12501
269,360000.0,35.5,Yates County,14837
270,1200000.0,40.5,Dutchess County,12501
271,1600000.0,173.51,Columbia County,12534
272,1095000.0,172.9,Rensselaer County,12168
273,1895000.0,30.0,Columbia County,12523
274,215000.0,24.45,Columbia County,12521
275,749000.0,87.0,Dutchess County,12546
276,275000.0,58.0,Columbia County,12565
277,250000.0,30.9,Columbia County,12029
278,88000.0,22.0,Albany County,12193
279,1799000.0,196.37,Columbia County,12541
280,88500.0,16.0,Dutchess County,12567
281,3000000.0,207.0,Dutchess County,12546
282,1323000.0,147.0,Columbia County,12534
283,695000.0,97.3,Columbia County,12526
284,175000.0,20.75,Columbia County,12503
285,75000.0,13.2,Greene County,12051
286,2000000.0,44.0,Dutchess County,12501
287,139900.0,46.8,Chautauqua County,14769
288,395000.0,45.3,Columbia County,12502
289,399000.0,151.9,Dutchess County,12514
290,475000.0,32.0,Columbia County,12521
291,849000.0,127.0,Otsego County,13326
292,1150000.0,170.0,Columbia County,12503
293,1100000.0,296.0,Otsego County,11226
294,549000.0,307.0,Herkimer County,13365
295,699000.0,157.0,Tompkins County,14850
296,450000.0,200.0,Franklin County,12983
297,1000.0,50.0,Franklin County,12983
